project,state,web_links
titan/titan.ProtocolModules.HTTP2,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.HTTP2
www.eclipse.org/eclipsescada,ACTIVE,plugins/gitiles/www.eclipse.org/eclipsescada
mpc/org.eclipse.epp.mpc,ACTIVE,plugins/gitiles/mpc/org.eclipse.epp.mpc
permissions/wildwebdeveloper-dev,ACTIVE,plugins/gitiles/permissions/wildwebdeveloper-dev
rap/incubator/org.eclipse.rap.incubator.gef,ACTIVE,plugins/gitiles/rap/incubator/org.eclipse.rap.incubator.gef
osbp/org.eclipse.osbp.xtext.blip,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.blip
www.eclipse.org/ee4j/ca,ACTIVE,plugins/gitiles/www.eclipse.org/ee4j/ca
permissions/jemo-dev,ACTIVE,plugins/gitiles/permissions/jemo-dev
www.eclipse.org/modeling,ACTIVE,plugins/gitiles/www.eclipse.org/modeling
www.eclipse.org/rmf,ACTIVE,plugins/gitiles/www.eclipse.org/rmf
www.eclipse.org/yasson,ACTIVE,plugins/gitiles/www.eclipse.org/yasson
osbp/org.eclipse.osbp.fork.uomo,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.fork.uomo
www.eclipse.org/cdo,ACTIVE,plugins/gitiles/www.eclipse.org/cdo
rap/incubator/org.eclipse.rap.incubator.spreadsheet,ACTIVE,plugins/gitiles/rap/incubator/org.eclipse.rap.incubator.spreadsheet
www.eclipse.org/lsphub,ACTIVE,plugins/gitiles/www.eclipse.org/lsphub
www.eclipse.org/ecoretools,ACTIVE,plugins/gitiles/www.eclipse.org/ecoretools
gef3d/org.eclipse.gef3d,ACTIVE,plugins/gitiles/gef3d/org.eclipse.gef3d
www.eclipse.org/kapua,ACTIVE,plugins/gitiles/www.eclipse.org/kapua
www.eclipse.org/gef,ACTIVE,plugins/gitiles/www.eclipse.org/gef
www.eclipse.org/japanwg,ACTIVE,plugins/gitiles/www.eclipse.org/japanwg
osbp/org.eclipse.osbp.xtext.topology,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.topology
platform/eclipse.platform.images,ACTIVE,plugins/gitiles/platform/eclipse.platform.images
cdt/org.eclipse.cdt,ACTIVE,plugins/gitiles/cdt/org.eclipse.cdt
jstl/jstl,ACTIVE,plugins/gitiles/jstl/jstl
permissions/january-dev,ACTIVE,plugins/gitiles/permissions/january-dev
osbp/org.eclipse.osbp.xtext.entitymock.common,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.entitymock.common
openk-platform/org.eclipse.openk.cim.cim17v07,ACTIVE,plugins/gitiles/openk-platform/org.eclipse.openk.cim.cim17v07
permissions/modisco-dev,ACTIVE,plugins/gitiles/permissions/modisco-dev
www.eclipse.org/windowbuilder,ACTIVE,plugins/gitiles/www.eclipse.org/windowbuilder
www.eclipse.org/hudson,ACTIVE,plugins/gitiles/www.eclipse.org/hudson
www.eclipse.org/emfstore,ACTIVE,plugins/gitiles/www.eclipse.org/emfstore
permissions/rasterframes-dev,ACTIVE,plugins/gitiles/permissions/rasterframes-dev
www.eclipse.org/ee4j/jaf,ACTIVE,plugins/gitiles/www.eclipse.org/ee4j/jaf
osbp/org.eclipse.osbp.report,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.report
paho/org.eclipse.paho.esf,ACTIVE,plugins/gitiles/paho/org.eclipse.paho.esf
permissions/tcf-dev,ACTIVE,plugins/gitiles/permissions/tcf-dev
permissions/jca-dev,ACTIVE,plugins/gitiles/permissions/jca-dev
permissions/web-dev,ACTIVE,plugins/gitiles/permissions/web-dev
permissions/richbeans-dev,ACTIVE,plugins/gitiles/permissions/richbeans-dev
mdmbl/org.eclipse.mdm.nucleus,ACTIVE,plugins/gitiles/mdmbl/org.eclipse.mdm.nucleus
chemclipse/org.eclipse.chemclipse.xpassmsfilter,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.xpassmsfilter
www.eclipse.org/gemini/naming,ACTIVE,plugins/gitiles/www.eclipse.org/gemini/naming
epp/org.eclipse.epp.usagedata,ACTIVE,plugins/gitiles/epp/org.eclipse.epp.usagedata
permissions/scanning-dev,ACTIVE,plugins/gitiles/permissions/scanning-dev
permissions/bpel-dev,ACTIVE,plugins/gitiles/permissions/bpel-dev
edapt/org.eclipse.emf.edapt,ACTIVE,plugins/gitiles/edapt/org.eclipse.emf.edapt
systemfocus/systemfocus,ACTIVE,plugins/gitiles/systemfocus/systemfocus
m2e-wtp/org.eclipse.m2e.wtp.jpa,ACTIVE,plugins/gitiles/m2e-wtp/org.eclipse.m2e.wtp.jpa
graphiti/org.eclipse.graphiti,ACTIVE,plugins/gitiles/graphiti/org.eclipse.graphiti
eclipselink/examples/performance,ACTIVE,plugins/gitiles/eclipselink/examples/performance
osbp/org.eclipse.osbp.xtext.functionlibrary,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.functionlibrary
www.eclipse.org/eclipse,ACTIVE,plugins/gitiles/www.eclipse.org/eclipse
www.eclipse.org/4diac,ACTIVE,plugins/gitiles/www.eclipse.org/4diac
osbp/org.eclipse.osbp.osgi.hybrid.api,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.osgi.hybrid.api
www.eclipse.org/bpmn2-modeler,ACTIVE,plugins/gitiles/www.eclipse.org/bpmn2-modeler
www.eclipse.org/modeling/mdt/uml2,ACTIVE,plugins/gitiles/www.eclipse.org/modeling/mdt/uml2
www.eclipse.org/leshan,ACTIVE,plugins/gitiles/www.eclipse.org/leshan
actf/org.eclipse.actf.examples,ACTIVE,plugins/gitiles/actf/org.eclipse.actf.examples
mdmbl/org.eclipse.mdmbl,ACTIVE,plugins/gitiles/mdmbl/org.eclipse.mdmbl
permissions/papyrus-dev,ACTIVE,plugins/gitiles/permissions/papyrus-dev
www.eclipse.org/gemini,ACTIVE,plugins/gitiles/www.eclipse.org/gemini
permissions/etrice-dev,ACTIVE,plugins/gitiles/permissions/etrice-dev
www.eclipse.org/eclipselink,ACTIVE,plugins/gitiles/www.eclipse.org/eclipselink
permissions/linuxtools-dev,ACTIVE,plugins/gitiles/permissions/linuxtools-dev
sirius/org.eclipse.sirius,ACTIVE,plugins/gitiles/sirius/org.eclipse.sirius
www.eclipse.org/texo,ACTIVE,plugins/gitiles/www.eclipse.org/texo
platform/eclipse.platform.team,ACTIVE,plugins/gitiles/platform/eclipse.platform.team
www.eclipse.org/m2e,ACTIVE,plugins/gitiles/www.eclipse.org/m2e
orbit/orbit-recipes,ACTIVE,plugins/gitiles/orbit/orbit-recipes
apogy/apogy,ACTIVE,plugins/gitiles/apogy/apogy
openk-platform/org.eclipse.openk.service,ACTIVE,plugins/gitiles/openk-platform/org.eclipse.openk.service
www.eclipse.org/rtsc,ACTIVE,plugins/gitiles/www.eclipse.org/rtsc
titan/titan.ProtocolModules.SGsAP_13.2.0,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.SGsAP_13.2.0
www.eclipse.org/efxclipse,ACTIVE,plugins/gitiles/www.eclipse.org/efxclipse
skalli/org.eclipse.skalli,ACTIVE,plugins/gitiles/skalli/org.eclipse.skalli
